rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-07-24T22:07:48
2,여름원피스,패션의류>여성의류,2026-07-24T22:07:48
3,블라우스,패션의류>여성의류,2026-07-24T22:07:48
4,플리츠원피스,패션의류>여성의류,2026-07-24T22:07:48
5,시슬리원피스,패션의류>여성의류,2026-07-24T22:07:48
6,여름가디건,패션의류>여성의류,2026-07-24T22:07:48
7,잇미샤원피스,패션의류>여성의류,2026-07-24T22:07:48
8,에고이스트,패션의류>여성의류,2026-07-24T22:07:48
9,여름블라우스,패션의류>여성의류,2026-07-24T22:07:48
10,올리비아로렌,패션의류>여성의류,2026-07-24T22:07:48
11,듀엘원피스,패션의류>여성의류,2026-07-24T22:07:48
12,여성원피스,패션의류>여성의류,2026-07-24T22:07:48
13,에고이스트원피스,패션의류>여성의류,2026-07-24T22:07:48
14,베네통원피스,패션의류>여성의류,2026-07-24T22:07:48
15,쉬즈미스원피스,패션의류>여성의류,2026-07-24T22:07:48
16,티셔츠,패션의류>여성의류,2026-07-24T22:07:48
17,샤틴원피스,패션의류>여성의류,2026-07-24T22:07:48
18,지고트원피스,패션의류>여성의류,2026-07-24T22:07:48
19,여성반바지,패션의류>여성의류,2026-07-24T22:07:48
20,써스데이아일랜드원피스,패션의류>여성의류,2026-07-24T22:07:48
21,잇미샤,패션의류>여성의류,2026-07-24T22:07:48
22,자라,패션의류>여성의류,2026-07-24T22:07:48
23,여성블라우스,패션의류>여성의류,2026-07-24T22:07:48
24,쉬폰원피스,패션의류>여성의류,2026-07-24T22:07:48
25,제시뉴욕,패션의류>여성의류,2026-07-24T22:07:48
26,블라우스/셔츠,패션의류>여성의류,2026-07-24T22:07:48
27,린넨원피스,패션의류>여성의류,2026-07-24T22:07:48
28,여성여름가디건,패션의류>여성의류,2026-07-24T22:07:48
29,써스데이아일랜드,패션의류>여성의류,2026-07-24T22:07:48
30,리스트블라우스,패션의류>여성의류,2026-07-24T22:07:48
31,써스데이원피스,패션의류>여성의류,2026-07-24T22:07:48
32,리스트원피스,패션의류>여성의류,2026-07-24T22:07:48
33,bcbg원피스,패션의류>여성의류,2026-07-24T22:07:48
34,스커트,패션의류>여성의류,2026-07-24T22:07:48
35,카프리팬츠,패션의류>여성의류,2026-07-24T22:07:48
36,모조에스핀,패션의류>여성의류,2026-07-24T22:07:48
37,바스락원피스,패션의류>여성의류,2026-07-24T22:07:48
38,럭키슈에뜨,패션의류>여성의류,2026-07-24T22:07:48
39,반팔블라우스,패션의류>여성의류,2026-07-24T22:07:48
40,럭키슈에뜨원피스,패션의류>여성의류,2026-07-24T22:07:48
