date,brand,slot,image_file,uploaded_at
2026-08-03,신세계V,브랜드검색 PC,56ebdd9944ac45619e77b68e3eb475ff.png,2026-08-03T10:22:36
2026-08-03,신세계V,브랜드검색 MO,7830c2bb91834eeb80d75a507312c24e.png,2026-08-03T10:22:43
2026-08-03,신세계V,메타소재 1,596de87fa44243f09179b3b16580df25.jpg,2026-08-03T10:22:49
2026-08-03,신세계V,메타소재 2,2ab7116e356f473e80145d13c0d3407a.jpg,2026-08-03T10:22:49
2026-08-03,바바더닷컴,브랜드검색 PC,a872eaed09e740d3b73475d482bfbd60.png,2026-08-03T10:23:11
2026-08-03,바바더닷컴,브랜드검색 MO,290b41b3bef34951a576cdcb718577d8.png,2026-08-03T10:23:19
2026-08-03,바바더닷컴,메타소재 1,f6de04ec227d41daa66a3eddb6ae1215.jpg,2026-08-03T10:23:29
2026-08-03,바바더닷컴,메타소재 2,5c0959d730dc40ec99741abccaf2e8ff.jpg,2026-08-03T10:23:29
2026-08-03,W컨셉,브랜드검색 PC,1bb4e883c6204192b49f0e5967f5b545.png,2026-08-03T10:23:51
2026-08-03,W컨셉,브랜드검색 MO,a70fa99a4ab6409c89bb8616571349c9.png,2026-08-03T10:23:59
2026-08-10,더한섬닷컴,브랜드검색 PC,ee0d8ba75fd14412b8b9a82962d2ecc7.png,2026-08-10T09:18:28
2026-08-10,더한섬닷컴,브랜드검색 MO,27e5c2cab0484df29711b8ce74e0b533.png,2026-08-10T09:18:32
2026-08-10,더한섬닷컴,메타소재 1,86b8251f67ee424cb58f6666e8a437f1.jpg,2026-08-10T09:18:42
2026-08-10,더한섬닷컴,메타소재 2,7eda31304ff24f17b3f11bb3ca31d0dd.jpg,2026-08-10T09:18:42
2026-08-10,신세계V,브랜드검색 PC,c8b259f4cf5d4f6e9de7639bee20ad91.png,2026-08-10T09:18:46
2026-08-10,신세계V,브랜드검색 MO,3fef4d40746f46539ab25dcfa468b0f1.png,2026-08-10T09:18:52
2026-08-10,신세계V,메타소재 1,4478b27c2b504f7c97b4632359ff7dc4.jpg,2026-08-10T09:19:01
2026-08-10,신세계V,메타소재 2,ef8a5a6fb4b540f9a0dc9bef1a9515b5.jpg,2026-08-10T09:19:01
2026-08-10,W컨셉,브랜드검색 PC,1fe448c95b444351b84a520843b04c65.png,2026-08-10T09:19:06
2026-08-10,W컨셉,브랜드검색 MO,5d13c3d51df14637abf496968fdb601d.png,2026-08-10T09:19:11
2026-08-10,W컨셉,메타소재 1,e4eb663ea01f403cb05ad0a49681a901.jpg,2026-08-10T09:19:21
2026-08-10,W컨셉,메타소재 2,1163ac4de8134437bb4a2d94dc706288.jpg,2026-08-10T09:19:21
2026-08-10,바바더닷컴,브랜드검색 PC,52c94832d77647bb916ac8b367a6aba2.png,2026-08-10T09:19:26
2026-08-10,바바더닷컴,브랜드검색 MO,c85ca4f08a114973a2ec9561f66b90aa.png,2026-08-10T09:19:33
2026-08-10,바바더닷컴,메타소재 1,f3c2a135c13040b59aa51c361f1a4e24.jpg,2026-08-10T09:19:44
2026-08-10,바바더닷컴,메타소재 2,fb966afe28604f478e97a6df37cda50a.jpg,2026-08-10T09:19:44
