channel,rank,keyword,input_by,input_at
더한섬닷컴,1,25SS,auto,2026-08-28T22:42:46
더한섬닷컴,2,가디건,auto,2026-08-28T22:42:46
더한섬닷컴,3,데님자켓,auto,2026-08-28T22:42:46
더한섬닷컴,4,카프리팬츠,auto,2026-08-28T22:42:46
더한섬닷컴,5,여성슈즈,auto,2026-08-28T22:42:46
더한섬닷컴,6,여성 버뮤다팬츠,auto,2026-08-28T22:42:46
더한섬닷컴,7,가방,auto,2026-08-28T22:42:46
더한섬닷컴,8,나시,auto,2026-08-28T22:42:46
더한섬닷컴,9,가니,auto,2026-08-28T22:42:46
더한섬닷컴,10,레더,auto,2026-08-28T22:42:46
신세계V,1,바트볼,auto,2026-08-28T22:42:57
신세계V,2,스튜디오톰보이,auto,2026-08-28T22:42:57
신세계V,3,바트,auto,2026-08-28T22:42:57
신세계V,4,스테인리스 바트,auto,2026-08-28T22:42:57
신세계V,5,샤넬,auto,2026-08-28T22:42:57
신세계V,6,뚜껑이 있는,auto,2026-08-28T22:42:57
신세계V,7,로에베,auto,2026-08-28T22:42:57
신세계V,8,딥디크,auto,2026-08-28T22:42:57
신세계V,9,스텐,auto,2026-08-28T22:42:57
신세계V,10,지압,auto,2026-08-28T22:42:57
W컨셉,1,하객룩,auto,2026-08-28T22:43:05
W컨셉,2,타이블라우스,auto,2026-08-28T22:43:05
W컨셉,3,플랫슈즈,auto,2026-08-28T22:43:05
W컨셉,4,원피스,auto,2026-08-28T22:43:05
W컨셉,5,24SS,auto,2026-08-28T22:43:05
W컨셉,6,리퍼브,auto,2026-08-28T22:43:05
W컨셉,7,자켓,auto,2026-08-28T22:43:05
W컨셉,8,블라우스,auto,2026-08-28T22:43:05
W컨셉,9,K122,auto,2026-08-28T22:43:05
W컨셉,10,가방,auto,2026-08-28T22:43:05
바바더닷컴,1,품절임박,auto,2026-08-28T22:43:22
바바더닷컴,2,셔츠,auto,2026-08-28T22:43:22
바바더닷컴,3,원피스,auto,2026-08-28T22:43:22
바바더닷컴,4,가디건,auto,2026-08-28T22:43:22
바바더닷컴,5,더틸벌리,auto,2026-08-28T22:43:22
바바더닷컴,6,셋업,auto,2026-08-28T22:43:22
바바더닷컴,7,핑크베이지,auto,2026-08-28T22:43:22
바바더닷컴,8,아이잗 컬렉션,auto,2026-08-28T22:43:22
바바더닷컴,9,아이잗바바. 재킷,auto,2026-08-28T22:43:22
바바더닷컴,10,니트 베스트,auto,2026-08-28T22:43:22
