channel,rank,keyword,input_by,input_at
더한섬닷컴,1,가디건,auto,2026-07-24T22:37:52
더한섬닷컴,2,캐시미어,auto,2026-07-24T22:37:52
더한섬닷컴,3,XIRENA,auto,2026-07-24T22:37:52
더한섬닷컴,4,퀼로트 팬츠,auto,2026-07-24T22:37:52
더한섬닷컴,5,파우치,auto,2026-07-24T22:37:52
더한섬닷컴,6,카드지갑,auto,2026-07-24T22:37:52
더한섬닷컴,7,오브제,auto,2026-07-24T22:37:52
더한섬닷컴,8,데님치마,auto,2026-07-24T22:37:52
더한섬닷컴,9,추가인하,auto,2026-07-24T22:37:52
더한섬닷컴,10,데님 원피스,auto,2026-07-24T22:37:52
신세계V,1,로에베,auto,2026-07-24T22:37:58
신세계V,2,로에베 토마토,auto,2026-07-24T22:37:58
신세계V,3,스튜디오톰보이,auto,2026-07-24T22:37:58
신세계V,4,선풍기,auto,2026-07-24T22:37:58
신세계V,5,로에베 핸드크림,auto,2026-07-24T22:37:58
신세계V,6,배쓰앤바디웍스,auto,2026-07-24T22:37:58
신세계V,7,로에베 토마토 리프 핸드 크림 75ML,auto,2026-07-24T22:37:58
신세계V,8,사카이,auto,2026-07-24T22:37:58
신세계V,9,사각사각,auto,2026-07-24T22:37:58
신세계V,10,원피스,auto,2026-07-24T22:37:58
W컨셉,1,원피스,auto,2026-07-24T22:38:03
W컨셉,2,블라우스,auto,2026-07-24T22:38:03
W컨셉,3,샌들,auto,2026-07-24T22:38:03
W컨셉,4,가방,auto,2026-07-24T22:38:03
W컨셉,5,수영복,auto,2026-07-24T22:38:03
W컨셉,6,리퍼브,auto,2026-07-24T22:38:03
W컨셉,7,나시,auto,2026-07-24T22:38:03
W컨셉,8,나이키,auto,2026-07-24T22:38:03
W컨셉,9,여름원피스,auto,2026-07-24T22:38:03
W컨셉,10,양우산,auto,2026-07-24T22:38:03
바바더닷컴,1,원피스,auto,2026-07-24T22:38:14
바바더닷컴,2,블라우스,auto,2026-07-24T22:38:14
바바더닷컴,3,지고트,auto,2026-07-24T22:38:14
바바더닷컴,4,스커트,auto,2026-07-24T22:38:14
바바더닷컴,5,틸버리,auto,2026-07-24T22:38:14
바바더닷컴,6,셋업,auto,2026-07-24T22:38:14
바바더닷컴,7,더아이잗,auto,2026-07-24T22:38:14
바바더닷컴,8,배색,auto,2026-07-24T22:38:14
바바더닷컴,9,아이잣바바,auto,2026-07-24T22:38:14
바바더닷컴,10,아이잗컬렉션,auto,2026-07-24T22:38:14
