rank,keyword,category,collected_at
1,원피스,패션의류>여성의류,2026-07-24T21:53:58
2,여름원피스,패션의류>여성의류,2026-07-24T21:53:58
3,블라우스,패션의류>여성의류,2026-07-24T21:53:58
4,플리츠원피스,패션의류>여성의류,2026-07-24T21:53:58
5,시슬리원피스,패션의류>여성의류,2026-07-24T21:53:58
6,여름가디건,패션의류>여성의류,2026-07-24T21:53:58
7,잇미샤원피스,패션의류>여성의류,2026-07-24T21:53:58
8,에고이스트,패션의류>여성의류,2026-07-24T21:53:58
9,여름블라우스,패션의류>여성의류,2026-07-24T21:53:58
10,올리비아로렌,패션의류>여성의류,2026-07-24T21:53:58
