rank,keyword,category,collected_at
1,젤리슈즈,패션잡화,2026-07-28T11:18:56
2,크록스,패션잡화,2026-07-28T11:18:56
3,아쿠아슈즈,패션잡화,2026-07-28T11:18:56
4,슬리퍼,패션잡화,2026-07-28T11:18:56
5,양산,패션잡화,2026-07-28T11:18:56
6,에코백,패션잡화,2026-07-28T11:18:56
7,여성샌들,패션잡화,2026-07-28T11:18:56
8,나이키운동화,패션잡화,2026-07-28T11:18:56
9,샌들,패션잡화,2026-07-28T11:18:56
10,핏플랍샌들,패션잡화,2026-07-28T11:18:56
11,운동화,패션잡화,2026-07-28T11:18:56
12,안전화,패션잡화,2026-07-28T11:18:56
13,백팩,패션잡화,2026-07-28T11:18:56
14,여자여름샌들,패션잡화,2026-07-28T11:18:56
15,크로스백,패션잡화,2026-07-28T11:18:56
16,슈콤마보니샌들,패션잡화,2026-07-28T11:18:56
17,스케쳐스샌들,패션잡화,2026-07-28T11:18:56
18,크록스슬리퍼,패션잡화,2026-07-28T11:18:56
19,캐리어,패션잡화,2026-07-28T11:18:56
20,아디다스운동화,패션잡화,2026-07-28T11:18:56
21,나이키슬리퍼,패션잡화,2026-07-28T11:18:56
22,카드지갑,패션잡화,2026-07-28T11:18:56
23,뉴발란스운동화,패션잡화,2026-07-28T11:18:56
24,런닝화,패션잡화,2026-07-28T11:18:56
25,루이비통가방,패션잡화,2026-07-28T11:18:56
26,레인부츠,패션잡화,2026-07-28T11:18:56
27,핏플랍쪼리,패션잡화,2026-07-28T11:18:56
28,스케쳐스운동화,패션잡화,2026-07-28T11:18:56
29,아디다스슬리퍼,패션잡화,2026-07-28T11:18:56
30,크록스샌들,패션잡화,2026-07-28T11:18:56
31,메리제인운동화,패션잡화,2026-07-28T11:18:56
32,k팔찌,패션잡화,2026-07-28T11:18:56
33,쪼리,패션잡화,2026-07-28T11:18:56
34,셀린느가방,패션잡화,2026-07-28T11:18:56
35,호카운동화,패션잡화,2026-07-28T11:18:56
36,오니츠카타이거,패션잡화,2026-07-28T11:18:56
37,러닝화,패션잡화,2026-07-28T11:18:56
38,카시오시계,패션잡화,2026-07-28T11:18:56
39,코치가방,패션잡화,2026-07-28T11:18:56
40,핏플랍,패션잡화,2026-07-28T11:18:56
