rank,keyword,category,collected_at
1,젤리슈즈,패션잡화,2026-07-29T14:20:18
2,크록스,패션잡화,2026-07-29T14:20:18
3,아쿠아슈즈,패션잡화,2026-07-29T14:20:18
4,슬리퍼,패션잡화,2026-07-29T14:20:18
5,양산,패션잡화,2026-07-29T14:20:18
6,에코백,패션잡화,2026-07-29T14:20:18
7,여성샌들,패션잡화,2026-07-29T14:20:18
8,나이키운동화,패션잡화,2026-07-29T14:20:18
9,샌들,패션잡화,2026-07-29T14:20:18
10,안전화,패션잡화,2026-07-29T14:20:18
11,핏플랍샌들,패션잡화,2026-07-29T14:20:18
12,운동화,패션잡화,2026-07-29T14:20:18
13,백팩,패션잡화,2026-07-29T14:20:18
14,여자여름샌들,패션잡화,2026-07-29T14:20:18
15,크로스백,패션잡화,2026-07-29T14:20:18
16,슈콤마보니샌들,패션잡화,2026-07-29T14:20:18
17,스케쳐스샌들,패션잡화,2026-07-29T14:20:18
18,크록스슬리퍼,패션잡화,2026-07-29T14:20:18
19,캐리어,패션잡화,2026-07-29T14:20:18
20,아디다스운동화,패션잡화,2026-07-29T14:20:18
21,나이키슬리퍼,패션잡화,2026-07-29T14:20:18
22,카드지갑,패션잡화,2026-07-29T14:20:18
23,런닝화,패션잡화,2026-07-29T14:20:18
24,뉴발란스운동화,패션잡화,2026-07-29T14:20:18
25,루이비통가방,패션잡화,2026-07-29T14:20:18
26,핏플랍쪼리,패션잡화,2026-07-29T14:20:18
27,레인부츠,패션잡화,2026-07-29T14:20:18
28,스케쳐스운동화,패션잡화,2026-07-29T14:20:18
29,아디다스슬리퍼,패션잡화,2026-07-29T14:20:18
30,크록스샌들,패션잡화,2026-07-29T14:20:18
31,쪼리,패션잡화,2026-07-29T14:20:18
32,k팔찌,패션잡화,2026-07-29T14:20:18
33,메리제인운동화,패션잡화,2026-07-29T14:20:18
34,셀린느가방,패션잡화,2026-07-29T14:20:18
35,러닝화,패션잡화,2026-07-29T14:20:18
36,오니츠카타이거,패션잡화,2026-07-29T14:20:18
37,호카운동화,패션잡화,2026-07-29T14:20:18
38,카시오시계,패션잡화,2026-07-29T14:20:18
39,코치가방,패션잡화,2026-07-29T14:20:18
40,핏플랍,패션잡화,2026-07-29T14:20:18
