rank,keyword,category,collected_at
1,크록스,패션잡화,2026-08-07T17:10:34
2,아쿠아슈즈,패션잡화,2026-08-07T17:10:34
3,젤리슈즈,패션잡화,2026-08-07T17:10:34
4,양산,패션잡화,2026-08-07T17:10:34
5,슬리퍼,패션잡화,2026-08-07T17:10:34
6,에코백,패션잡화,2026-08-07T17:10:34
7,여성샌들,패션잡화,2026-08-07T17:10:34
8,나이키운동화,패션잡화,2026-08-07T17:10:34
9,샌들,패션잡화,2026-08-07T17:10:34
10,백팩,패션잡화,2026-08-07T17:10:34
11,안전화,패션잡화,2026-08-07T17:10:34
12,핏플랍샌들,패션잡화,2026-08-07T17:10:34
13,운동화,패션잡화,2026-08-07T17:10:34
14,크로스백,패션잡화,2026-08-07T17:10:34
15,크록스슬리퍼,패션잡화,2026-08-07T17:10:34
16,캐리어,패션잡화,2026-08-07T17:10:34
17,여자여름샌들,패션잡화,2026-08-07T17:10:34
18,슈콤마보니샌들,패션잡화,2026-08-07T17:10:34
19,스케쳐스샌들,패션잡화,2026-08-07T17:10:34
20,아디다스운동화,패션잡화,2026-08-07T17:10:34
21,나이키슬리퍼,패션잡화,2026-08-07T17:10:34
22,카드지갑,패션잡화,2026-08-07T17:10:34
23,뉴발란스운동화,패션잡화,2026-08-07T17:10:34
24,런닝화,패션잡화,2026-08-07T17:10:34
25,핏플랍쪼리,패션잡화,2026-08-07T17:10:34
26,스케쳐스운동화,패션잡화,2026-08-07T17:10:34
27,루이비통가방,패션잡화,2026-08-07T17:10:34
28,아디다스슬리퍼,패션잡화,2026-08-07T17:10:34
29,발가락양말,패션잡화,2026-08-07T17:10:34
30,쪼리,패션잡화,2026-08-07T17:10:34
31,크록스샌들,패션잡화,2026-08-07T17:10:34
32,k팔찌,패션잡화,2026-08-07T17:10:34
33,셀린느가방,패션잡화,2026-08-07T17:10:34
34,오니츠카타이거,패션잡화,2026-08-07T17:10:34
35,호카운동화,패션잡화,2026-08-07T17:10:34
36,코치가방,패션잡화,2026-08-07T17:10:34
37,러닝화,패션잡화,2026-08-07T17:10:34
38,메리제인운동화,패션잡화,2026-08-07T17:10:34
39,양우산,패션잡화,2026-08-07T17:10:34
40,핏플랍,패션잡화,2026-08-07T17:10:34
