rank,keyword,category,collected_at
1,젤리슈즈,패션잡화,2026-07-24T22:07:48
2,크록스,패션잡화,2026-07-24T22:07:48
3,슬리퍼,패션잡화,2026-07-24T22:07:48
4,아쿠아슈즈,패션잡화,2026-07-24T22:07:48
5,양산,패션잡화,2026-07-24T22:07:48
6,에코백,패션잡화,2026-07-24T22:07:48
7,여성샌들,패션잡화,2026-07-24T22:07:48
8,샌들,패션잡화,2026-07-24T22:07:48
9,나이키운동화,패션잡화,2026-07-24T22:07:48
10,안전화,패션잡화,2026-07-24T22:07:48
11,운동화,패션잡화,2026-07-24T22:07:48
12,핏플랍샌들,패션잡화,2026-07-24T22:07:48
13,여자여름샌들,패션잡화,2026-07-24T22:07:48
14,백팩,패션잡화,2026-07-24T22:07:48
15,크로스백,패션잡화,2026-07-24T22:07:48
16,슈콤마보니샌들,패션잡화,2026-07-24T22:07:48
17,스케쳐스샌들,패션잡화,2026-07-24T22:07:48
18,크록스슬리퍼,패션잡화,2026-07-24T22:07:48
19,아디다스운동화,패션잡화,2026-07-24T22:07:48
20,캐리어,패션잡화,2026-07-24T22:07:48
21,레인부츠,패션잡화,2026-07-24T22:07:48
22,카드지갑,패션잡화,2026-07-24T22:07:48
23,나이키슬리퍼,패션잡화,2026-07-24T22:07:48
24,런닝화,패션잡화,2026-07-24T22:07:48
25,뉴발란스운동화,패션잡화,2026-07-24T22:07:48
26,루이비통가방,패션잡화,2026-07-24T22:07:48
27,핏플랍쪼리,패션잡화,2026-07-24T22:07:48
28,스케쳐스운동화,패션잡화,2026-07-24T22:07:48
29,아디다스슬리퍼,패션잡화,2026-07-24T22:07:48
30,메리제인운동화,패션잡화,2026-07-24T22:07:48
31,크록스샌들,패션잡화,2026-07-24T22:07:48
32,k팔찌,패션잡화,2026-07-24T22:07:48
33,호카운동화,패션잡화,2026-07-24T22:07:48
34,쪼리,패션잡화,2026-07-24T22:07:48
35,셀린느가방,패션잡화,2026-07-24T22:07:48
36,오니츠카타이거,패션잡화,2026-07-24T22:07:48
37,카시오시계,패션잡화,2026-07-24T22:07:48
38,러닝화,패션잡화,2026-07-24T22:07:48
39,코치가방,패션잡화,2026-07-24T22:07:48
40,핏플랍,패션잡화,2026-07-24T22:07:48
